1, KRAUS-HIRSCHEN-TRUNK 22 RAUCHBIER (KELLERBIER), GERMANY, 5.5%, RUBBER-CLAD GRAVITY KEG
2, SOUTHERN TIER BREWING CO. WARLOCK IMPERIAL PUMPKIN STOUT, NEW YORK, 9.6%, DRAFT
3, SCHNEIDER WIESEN EDEL-WEISSE HEFEWEIZEN, GERMANY, 6.2%, WOOD-CLAD GRAVITY KEG
4, NEUZELLE KYRITZER MORD & TOTSCHLAG SCHWARZBIER, GERMANY, 7.2%, DRAFT
5, DC BRAU ON THE WINGS OF ARMAGEDDON IMPERIAL IPA, WASHINGTON, DC, 9.2%, DRAFT
6, WILD WOLF BREWING CO. CABERNET SAUVIGNON BARREL-AGED QUADRUPEL, QUADRUPEL, VIRGINI, 10.1%, DRAFT
7, DOGFISH HEAD BEER 75 MINUTE IPA AMERICAN IPA, DELAWARE, 7.5%, CASK
8, BLUE MOUNTAIN BREWERY SPOOKY BARREL-AGED IMPERIAL PUMPKIN ALE, VIRGINIA, 8.2%, DRAFT
9, JOLLY PUMPKIN BREWERY FUEGO DEL OTOÑO BARREL-AGED WILD ALE W/ CHESTNUT & SPICES, MICHIGA, 6.1%, DRAFT
10, LAUGHING DOG BREWING FRESH HOP PALE ALE FRESH-HOPE PALE ALE, IDAHO, 5.6%, DRAFT
11, STONE BREWING CO. REASON BE DAMNED RED WINE BARREL-AGED BELGIAN STRONG BLOND ALE, CALIFORNIA,8,DRAFT
12, SCHLAFLY BEER TASMANIAN IPA AMERICAN IPA, MISSOURI, 7.2%, DRAFT
13, GOOSE ISLAND BEER CO. MATILDA LAMBICUS BELGIAN STRONG PALE ALE W/ BRETTANOMYCES, ILLINOIS, 7.0%, DRAFT
14, AECHT SCHLENKERLA RAUCHBIER MÄRZEN KEG, RAUCHBIER, GERMANY, 5.4%, DRAFT
15, MAINE BEER CO. ZOE, AMERICAN AMBER ALE, MAINE, 7.2%, DRAFT
16, LONG TRAIL BREWING IMPERIAL PUMPKIN ALE IMPERIAL PUMPKIN ALE, VERMONT, 8.0%, DRAFT
17, WEISSENOHER CLASSIC EXPORT BIOLAND, HELLES LAGER, GERMANY, 5%, RUBBER-CLAD GRAVITY KEG
18, THE MONARCHY MÜNCHHAUSEN ALTBIER, GERMANY, 4.8%, DRAFT
19, NEW HOLLAND BREWING CO. ICHABOD PUMPKIN ALE, MICHIGAN, 4.8%, DRAFT
20, BELL'S BREWERY OCTOBERFEST BEER OKTOBERFEST, MICHIGAN, 5.8%, DRAFT
21, ANCHOR LIBERTY ALE, AMERICAN PALE ALE DRY-HOPPED IN THE CASK W/ CITRA HOPS, CALIFORNIA, 5.9%, CASK
22, ALLAGASH AVANCÉ QUADRUPEL AGED IN OAK BARRELS W/ STRAWBERRIES, MAINE, 10.2%, DRAFT
23, HEAVY SEAS THE GREATER PUMPKIN IMPERIAL PUMPKIN ALE AGED IN BOURBON BARRELS, MARYLAND, 9.0%, DRAFT
24, KULMBACHER EISBOCK, EISBOCK, GERMANY, 9.2%, DRAFT
25, ALEWERKS PUMPKIN ALE, PUMPKIN ALE, VIRGINIA, 7.3%, DRAFT
